price,time
101239,23-Jun
105453,24-Jun
106422,25-Jun
107731,26-Jun
107143,27-Jun
107082,28-Jun
107248,29-Jun
108525,30-Jun
107321,01-Jul
105718,02-Jul
108977,03-Jul
109536,04-Jul
107980,05-Jul
108258,06-Jul
109252,07-Jul
107724,08-Jul
108810,09-Jul
111280,10-Jul
115865,11-Jul
117701,12-Jul
117453,13-Jul
119181,14-Jul
118306,15-Jul
117579,16-Jul
118223,17-Jul
120170,18-Jul
118081,19-Jul
117948,20-Jul
117825,21-Jul
117610,22-Jul
119351,23-Jul
119000,24-Jul
117231,25-Jul
117284,26-Jul
118253,27-Jul
119301,28-Jul
117748,29-Jul
117995,30-Jul
118206,31-Jul
115649,01-Aug
113613,02-Aug
113336,03-Aug
114663,04-Aug
114668,05-Aug
113651,06-Aug
114836,07-Aug
116836,08-Aug
116579,09-Aug
116692,10-Aug
121141,11-Aug
119003,12-Aug
119362,13-Aug
123650,14-Aug
118717,15-Aug
117884,16-Aug
117505,17-Aug
116165,18-Aug
115841,19-Aug
113039,20-Aug
114470,21-Aug
112805,22-Aug
116390,23-Aug
115536,24-Aug
113068,25-Aug
109820,26-Aug
111283,27-Aug
111602,28-Aug
111545,29-Aug
108029,30-Aug
109455,31-Aug
108181,01-Sep
109466,02-Sep
110932,03-Sep
111864,04-Sep
110950,05-Sep
110876,06-Sep
110581,07-Sep
110886,08-Sep
111462,09-Sep
110957,10-Sep
113893,11-Sep
115625,12-Sep
115937,13-Sep
116021,14-Sep
115253,15-Sep
115268,16-Sep
116685,17-Sep
116879,18-Sep
117173,19-Sep
115708,20-Sep
115553,21-Sep
114314,22-Sep
112356,23-Sep
112424,24-Sep
112759,25-Sep
109779,26-Sep
109403,27-Sep
109396,28-Sep
111888,29-Sep
114442,30-Sep
114550,01-Oct
118857,02-Oct
120147,03-Oct
121984,04-Oct
122407,05-Oct
124036,06-Oct
124802,07-Oct
121843,08-Oct
122430,09-Oct
121622,10-Oct
111520,11-Oct
110222,12-Oct
115760,13-Oct
114532,14-Oct
112704,15-Oct
111166,16-Oct
108781,17-Oct
107152,18-Oct
106958,19-Oct
108068,20-Oct
110011,21-Oct
108437,22-Oct
108187,23-Oct
110300,24-Oct
111031,25-Oct
111653,26-Oct
115292,27-Oct
114419,28-Oct
112494,29-Oct
110588,30-Oct
109660,31-Oct
109699,01-Nov
109887,02-Nov
109655,03-Nov
106972,04-Nov
100873,05-Nov
103405,06-Nov
101186,07-Nov
103018,08-Nov
101984,09-Nov
105627,10-Nov
106064,11-Nov
103265,12-Nov
101983,13-Nov
99233,14-Nov
95425,15-Nov
95207,16-Nov
94745,17-Nov
91589,18-Nov
92241,19-Nov
86962,21-Nov
85050,22-Nov
85811,23-Nov
87505,24-Nov
87743,25-Nov
87880,26-Nov
90716,27-Nov
90848,28-Nov
